交易号,账户,金额,渠道,时间,风险信号,风险等级,是否复核
TX4298877,ACC6097,900.47,代扣,2025-11-14,正常,低,免复核
TX3481956,ACC3477,74302.86,网银,2025-12-27,夜间,高,待复核
TX3300670,ACC9023,1922.63,网银,2025-12-17,正常,低,免复核
TX1347610,ACC5669,78151.39,代扣,2025-11-16,异地,中,待复核
TX2308952,ACC5704,11881.72,网银,2025-11-05,正常,低,免复核
TX2359247,ACC6437,6475.39,POS,2025-12-15,正常,低,免复核
TX4927757,ACC7559,66187.04,移动,2025-10-03,异地,中,待复核
TX6647085,ACC2571,69417.01,POS,2025-10-07,高频,高,待复核
TX5173264,ACC4878,11487.71,移动,2025-10-29,正常,低,免复核
TX3421772,ACC7837,34707.62,POS,2025-12-29,夜间,中,待复核
TX2045664,ACC3018,11550.94,网银,2025-10-09,正常,低,免复核
TX3959652,ACC6326,74634.21,网银,2025-10-15,高频,高,待复核
TX6815805,ACC9484,49631.8,移动,2025-12-12,异地,中,待复核
TX4966532,ACC1320,22780.83,代扣,2025-10-14,正常,低,免复核
TX3914309,ACC7792,6725.51,POS,2025-12-31,正常,低,免复核
TX7573546,ACC9598,75824.62,代扣,2025-10-27,异地,中,待复核
TX4661730,ACC3651,13446.88,网银,2025-11-10,正常,低,免复核
TX1138859,ACC5999,44136.05,移动,2025-11-22,异地,高,待复核
TX6582519,ACC1197,54260.66,网银,2025-12-28,高频,高,待复核
TX4164365,ACC4848,35705.49,POS,2025-11-15,夜间,中,待复核
TX2742737,ACC1309,48047.29,POS,2025-12-26,大额,中,待复核
TX3213108,ACC4623,79714.81,POS,2025-11-15,大额,中,待复核
TX4065234,ACC1576,51126.73,网银,2025-12-25,夜间,中,待复核
TX8351564,ACC8313,61860.45,代扣,2025-11-29,高频,中,待复核
TX7509594,ACC6078,15427.56,POS,2025-10-04,正常,低,免复核
TX7484565,ACC7079,53659.45,代扣,2025-12-03,异地,高,待复核
TX5300778,ACC7082,41867.22,移动,2025-10-23,高频,中,待复核
TX6245900,ACC3780,23147.57,POS,2025-11-22,正常,低,免复核
TX7661320,ACC5004,17040.77,移动,2025-11-08,正常,低,免复核
TX1283199,ACC7578,75073.31,POS,2025-10-18,高频,高,待复核
TX3027377,ACC4001,59516.84,移动,2025-11-07,夜间,中,待复核
TX8471873,ACC8802,37060.19,代扣,2025-11-01,大额,中,待复核
TX4655941,ACC8126,20823.87,POS,2025-12-30,正常,低,免复核
TX2084266,ACC1964,13508.11,代扣,2025-12-18,正常,低,免复核
TX7243421,ACC3264,10274.47,代扣,2025-11-12,正常,低,免复核
TX6725664,ACC2279,60237.43,代扣,2025-11-13,大额,高,待复核
TX7136546,ACC5742,67053.02,移动,2025-10-03,大额,高,待复核
TX1801595,ACC2597,47153.9,网银,2025-10-08,异地,中,待复核
TX1430563,ACC2153,73520.19,代扣,2025-12-01,高频,中,待复核
TX7712833,ACC6410,25349.45,移动,2025-10-13,正常,低,免复核
TX6836444,ACC9530,56610.71,代扣,2025-12-06,夜间,中,待复核
TX3569543,ACC1733,24976.24,POS,2025-12-12,正常,低,免复核
TX1502613,ACC1663,34875.19,POS,2025-12-07,异地,中,待复核
TX3951726,ACC7520,23107.46,POS,2025-11-06,正常,低,免复核
TX5006852,ACC4746,8833.99,移动,2025-12-26,正常,低,免复核
TX1450451,ACC1982,43366.05,POS,2025-10-05,异地,中,待复核
TX1400886,ACC4088,22604.19,POS,2025-11-12,正常,低,免复核
TX8626333,ACC1861,56604.1,POS,2025-12-08,夜间,高,待复核
TX8436230,ACC3264,30243.27,移动,2025-11-12,异地,中,待复核
TX7490857,ACC9171,50276.86,代扣,2025-10-21,异地,高,待复核
TX2693994,ACC7624,28370.27,代扣,2025-10-21,正常,低,免复核
TX8837181,ACC4292,18761.52,POS,2025-12-12,正常,低,免复核
TX3406458,ACC5644,32690.52,网银,2025-12-25,高频,高,待复核
TX7707961,ACC5530,64856.7,代扣,2025-11-13,异地,高,待复核
TX6821737,ACC1464,20399.62,移动,2025-12-13,正常,低,免复核
TX2072652,ACC2057,47712.54,代扣,2025-11-22,异地,高,待复核
TX6893488,ACC2284,28065.49,移动,2025-11-21,夜间,高,待复核
TX8667536,ACC7454,60599.95,网银,2025-10-05,异地,高,待复核
TX7481395,ACC3680,42384.75,代扣,2025-12-15,异地,高,待复核
TX4587479,ACC3619,60543.6,POS,2025-10-06,异地,中,待复核
TX3708561,ACC9359,17225.72,代扣,2025-11-22,正常,低,免复核
TX2576115,ACC8021,65444.37,网银,2025-11-06,夜间,高,待复核
TX5779061,ACC5763,20163.27,代扣,2025-10-30,正常,低,免复核
TX6699985,ACC8457,13612.08,移动,2025-11-26,正常,低,免复核
TX5063418,ACC5863,30444.86,POS,2025-12-22,异地,高,待复核
TX8158029,ACC5753,77418.5,POS,2025-11-16,高频,中,待复核
TX4765790,ACC6763,24786.56,网银,2025-12-20,正常,低,免复核
TX8240981,ACC3762,43836.56,POS,2025-12-23,高频,中,待复核
TX1904556,ACC6576,42633.66,代扣,2025-11-05,夜间,高,待复核
TX3766481,ACC3607,46295.75,网银,2025-12-21,大额,高,待复核
TX8901477,ACC8844,79236.9,代扣,2025-10-28,夜间,中,待复核
TX3082559,ACC7423,74033.35,POS,2025-10-26,夜间,高,待复核
TX8397896,ACC1412,11327.35,移动,2025-11-27,正常,低,免复核
TX7484871,ACC3102,56144.73,代扣,2025-10-23,高频,中,待复核
TX3204627,ACC4401,25590.58,POS,2025-11-30,正常,低,免复核
TX5029750,ACC6528,29863.32,网银,2025-11-11,异地,高,待复核
TX6452695,ACC3888,6947.94,代扣,2025-11-26,正常,低,免复核
TX5015210,ACC2325,64388.94,移动,2025-10-13,异地,高,待复核
TX7214134,ACC4103,49284.72,代扣,2025-12-31,大额,高,待复核
TX7315932,ACC8509,59124.13,移动,2025-11-15,异地,中,待复核
TX3445225,ACC2992,64824.5,代扣,2025-11-26,异地,高,待复核
TX4596399,ACC2152,47358.65,POS,2025-11-02,高频,中,待复核
TX4758052,ACC8680,66188.48,网银,2025-10-03,夜间,高,待复核
TX4779466,ACC8119,63143.21,网银,2025-11-11,大额,中,待复核
TX2528526,ACC8789,66724.76,网银,2025-10-14,异地,高,待复核
TX7877154,ACC2822,77872,网银,2025-11-09,高频,高,待复核
TX5257388,ACC5732,19250.65,代扣,2025-10-19,正常,低,免复核
TX2255920,ACC8781,78893.34,POS,2025-12-16,大额,中,待复核
TX1929438,ACC9282,43212.18,POS,2025-11-20,夜间,高,待复核
TX3976588,ACC5964,53859,网银,2025-11-07,大额,中,待复核
TX5632198,ACC3284,25846.83,网银,2025-10-31,正常,低,免复核
TX6315410,ACC7394,51904.56,代扣,2025-10-17,异地,中,待复核
TX6201651,ACC8912,51926.6,移动,2025-11-07,夜间,中,待复核
TX8763081,ACC5791,58040.61,移动,2025-11-01,大额,中,待复核
TX5944975,ACC7053,66066.14,网银,2025-10-28,大额,高,待复核
TX5423982,ACC7925,40257.15,网银,2025-11-19,夜间,中,待复核
TX8704655,ACC9080,56111.73,POS,2025-10-19,大额,高,待复核
TX5222537,ACC8796,27773.48,移动,2025-12-27,正常,低,免复核
TX8568223,ACC4871,53950.63,移动,2025-10-03,夜间,中,待复核
TX8396836,ACC4629,1662.3,网银,2025-10-29,正常,低,免复核
TX3762926,ACC1893,33543.61,POS,2025-11-03,异地,高,待复核
TX5859984,ACC5519,79945.1,POS,2025-10-30,异地,中,待复核
TX1356234,ACC9983,12221.44,移动,2025-12-08,正常,低,免复核
TX8953732,ACC4111,63505.95,POS,2025-11-26,异地,高,待复核
TX2593063,ACC2527,46272.83,网银,2025-10-09,大额,中,待复核
TX5412868,ACC4257,42937.1,POS,2025-10-15,大额,中,待复核
TX3530262,ACC5997,13147.76,网银,2025-12-25,正常,低,免复核
TX8629605,ACC2309,23258.84,移动,2025-12-17,正常,低,免复核
TX6326961,ACC1285,8313.12,网银,2025-12-25,正常,低,免复核
TX5619666,ACC7719,42310.98,POS,2025-12-18,夜间,高,待复核
TX4196693,ACC6153,13096.56,移动,2025-11-22,正常,低,免复核
TX7624691,ACC2596,79057.87,网银,2025-12-20,高频,高,待复核
TX3647983,ACC6847,39931.52,网银,2025-11-21,异地,高,待复核
TX4466469,ACC1259,67582.37,移动,2025-11-28,异地,中,待复核
TX3146398,ACC7853,67257.03,移动,2025-11-21,异地,高,待复核
TX8224650,ACC4368,47306.87,代扣,2025-10-23,异地,中,待复核
TX6722534,ACC5254,27321.7,网银,2025-12-31,正常,低,免复核
TX2148738,ACC1666,9394.22,网银,2025-10-20,正常,低,免复核
TX3012391,ACC9988,66774.59,移动,2025-11-30,大额,中,待复核
TX3339774,ACC9598,26247.63,网银,2026-01-01,正常,低,免复核
TX5332938,ACC9699,4769.49,网银,2025-12-26,正常,低,免复核
TX6738134,ACC2028,55492.1,代扣,2025-12-14,高频,中,待复核
TX3256094,ACC6291,42405.57,POS,2025-12-29,异地,中,待复核
TX5857954,ACC5160,46913.92,网银,2025-10-15,大额,高,待复核
TX3978080,ACC1308,36858.81,代扣,2025-10-10,夜间,中,待复核
TX1159111,ACC5871,10154.19,代扣,2025-10-27,正常,低,免复核
TX3755587,ACC9668,45752.15,网银,2025-12-28,高频,高,待复核
TX3601767,ACC5382,29748.78,网银,2025-10-27,正常,低,免复核
TX2132507,ACC4250,20774.93,代扣,2025-11-25,正常,低,免复核
TX4209831,ACC1212,73065.42,网银,2025-11-19,夜间,中,待复核
TX5226840,ACC3174,55228.06,网银,2025-10-19,夜间,高,待复核
TX3273149,ACC6821,34588.09,移动,2025-12-13,夜间,高,待复核
TX5089273,ACC1264,77005.07,网银,2025-12-03,夜间,高,待复核
TX7867543,ACC3258,38242.1,网银,2025-12-04,高频,高,待复核
TX8345069,ACC6787,12546.31,网银,2025-12-30,正常,低,免复核
TX1096603,ACC9424,56997.26,移动,2025-12-26,异地,高,待复核
TX1140747,ACC2615,55765.47,代扣,2025-11-27,夜间,中,待复核
TX7268069,ACC8102,16794.62,移动,2025-10-17,正常,低,免复核
TX2699797,ACC2683,484.85,移动,2025-10-03,正常,低,免复核
TX2430510,ACC5005,73002.03,网银,2025-11-26,异地,中,待复核
TX6289081,ACC5254,31133.56,网银,2026-01-01,大额,高,待复核
TX6858793,ACC8420,68495.5,POS,2025-11-23,大额,高,待复核
TX2218269,ACC8166,28171.34,POS,2025-12-11,正常,低,免复核
TX7704976,ACC1397,68584.84,网银,2025-10-21,高频,高,待复核
TX3527270,ACC9464,69048.19,移动,2025-12-16,大额,中,待复核
TX2981451,ACC6916,11491.55,网银,2025-10-10,正常,低,免复核
TX4794425,ACC8620,4294.31,网银,2025-12-22,正常,低,免复核
TX4845803,ACC4300,69075.15,代扣,2025-12-18,夜间,高,待复核
TX1940731,ACC1213,76030.9,网银,2025-12-29,高频,高,待复核
TX1542363,ACC8662,16528.41,网银,2025-12-14,正常,低,免复核
TX7727459,ACC4350,73801.28,代扣,2026-01-01,异地,高,待复核
TX7780559,ACC1217,18508.57,网银,2025-10-05,正常,低,免复核
TX3946472,ACC9955,57678.02,移动,2026-01-01,夜间,中,待复核
TX5277012,ACC6821,57435.41,代扣,2025-12-25,大额,高,待复核
TX3489963,ACC6726,25092.11,移动,2025-10-26,正常,低,免复核
TX4809992,ACC2469,42927.04,网银,2025-11-28,大额,中,待复核
TX4027672,ACC3221,56955.98,POS,2025-10-06,大额,中,待复核
TX5164987,ACC7507,72697.07,网银,2025-11-08,大额,高,待复核
TX8019648,ACC5890,10489.71,代扣,2025-12-05,正常,低,免复核
TX1765778,ACC7694,50150.51,移动,2025-11-25,高频,中,待复核
TX1003445,ACC4363,7728.77,代扣,2025-10-04,正常,低,免复核
TX6868722,ACC6499,54198.71,代扣,2025-12-06,异地,中,待复核
TX6031966,ACC9140,22644.53,POS,2025-10-10,正常,低,免复核
TX2801844,ACC9060,16904.92,代扣,2025-12-08,正常,低,免复核
TX3138468,ACC5040,72678.24,网银,2025-10-23,异地,高,待复核
TX4547865,ACC3332,69826.95,移动,2025-10-14,夜间,中,待复核
TX1127094,ACC9101,24365.63,代扣,2025-12-17,正常,低,免复核
TX6850751,ACC2377,52036.13,网银,2025-12-17,高频,高,待复核
TX2342653,ACC3058,75134.97,网银,2025-12-28,夜间,中,待复核
TX3579684,ACC6482,115.37,代扣,2025-11-07,夜间,中,待复核
TX6379100,ACC7235,556.77,移动,2025-12-25,正常,低,免复核
TX8437530,ACC3759,24505.84,POS,2025-10-22,正常,低,免复核
TX1595081,ACC7357,38292.94,移动,2025-12-23,大额,中,待复核
TX5489495,ACC7248,24377.67,网银,2025-10-05,正常,低,免复核
TX4608093,ACC4362,218.4,移动,2025-12-07,正常,低,免复核
TX7247009,ACC2176,7465.49,POS,2025-10-06,正常,低,免复核
TX8640170,ACC4020,15616.8,代扣,2025-11-09,正常,低,免复核
TX2285189,ACC3891,6625.86,POS,2025-10-03,正常,低,免复核
TX8129890,ACC5557,20613.12,网银,2025-10-24,正常,低,免复核
TX2880254,ACC1640,57522.78,网银,2025-11-08,异地,高,待复核
TX8330593,ACC5669,18509.45,网银,2025-10-13,正常,低,免复核
TX8970640,ACC7774,30169.58,移动,2025-12-09,高频,高,待复核
TX8450424,ACC1602,7827.86,POS,2025-11-29,正常,低,免复核
TX6069724,ACC1296,33471.26,POS,2025-11-07,异地,中,待复核
TX3300404,ACC7790,68315.03,代扣,2025-10-04,夜间,中,待复核
TX2766566,ACC2403,60054.31,网银,2025-12-13,异地,中,待复核
TX7971325,ACC9845,3104.76,代扣,2025-12-11,正常,低,免复核
TX5070000,ACC5365,12970.19,网银,2025-11-19,正常,低,免复核
TX2771994,ACC2430,27921.34,移动,2025-11-19,正常,低,免复核
TX3940868,ACC8198,46756.3,POS,2025-11-18,大额,高,待复核
TX4535589,ACC1978,9204.68,移动,2025-11-17,正常,低,免复核
TX1284131,ACC5373,66828.41,移动,2025-12-17,大额,中,待复核
TX2807837,ACC8182,37820.94,网银,2025-11-30,高频,中,待复核
TX3792528,ACC8683,63046.55,移动,2025-11-27,高频,中,待复核
TX7577634,ACC1316,34205.25,移动,2025-11-17,异地,中,待复核
TX7207124,ACC6866,29385.05,移动,2025-11-23,正常,低,免复核
TX6961940,ACC6187,16337.67,移动,2025-12-27,正常,低,免复核
TX8527433,ACC2969,9795.62,移动,2025-12-06,正常,低,免复核
TX3628587,ACC1645,9529.27,POS,2025-10-06,正常,低,免复核
TX4314516,ACC8570,44044.38,移动,2025-10-09,高频,中,待复核
TX3241813,ACC2352,47207.32,代扣,2025-10-29,夜间,高,待复核
TX5672760,ACC7374,12763.33,网银,2025-12-13,正常,低,免复核
TX8815393,ACC8148,16101.58,网银,2025-11-28,正常,低,免复核
TX1307340,ACC5451,74862.27,代扣,2025-11-13,高频,中,待复核
TX2986282,ACC9862,68028.46,代扣,2025-12-22,异地,中,待复核
TX1611757,ACC1679,1520.1,网银,2025-11-18,夜间,高,待复核
TX3945535,ACC8944,7781.55,代扣,2025-12-24,正常,低,免复核
TX5735559,ACC4479,62181.36,POS,2025-12-06,高频,高,待复核
TX1509090,ACC5319,34631.24,代扣,2025-10-07,异地,高,待复核
TX8768506,ACC8633,62788.61,POS,2025-12-24,高频,高,待复核
TX5257438,ACC3819,21958.74,POS,2025-10-29,正常,低,免复核
TX6537636,ACC5294,14180.95,移动,2025-12-01,正常,低,免复核
TX8467127,ACC8390,71310.52,网银,2025-11-06,异地,中,待复核
TX8267982,ACC7388,40277.72,移动,2025-10-04,夜间,中,待复核
TX5584351,ACC8776,63855.27,代扣,2025-12-29,异地,高,待复核
TX2716941,ACC3944,48093.72,移动,2025-11-27,夜间,中,待复核
TX8595928,ACC9028,68680.54,代扣,2025-12-03,异地,中,待复核
TX1509370,ACC3850,26025.07,网银,2025-12-26,正常,低,免复核
TX1249559,ACC5500,51902.44,代扣,2025-10-28,异地,中,待复核
TX7244020,ACC7132,78787.24,POS,2025-11-07,大额,高,待复核
TX6763368,ACC4832,40035.68,网银,2025-11-04,大额,中,待复核
TX2441334,ACC7418,60212.26,移动,2025-12-22,异地,中,待复核
TX8161183,ACC4254,64790.58,移动,2025-12-16,大额,中,待复核
TX4134981,ACC9638,15576.21,代扣,2025-12-30,夜间,高,待复核
TX4080968,ACC3765,14862.72,代扣,2025-12-01,正常,低,免复核
TX6206604,ACC7383,28244.66,移动,2025-10-12,正常,低,免复核
TX2995775,ACC4308,13589.64,代扣,2025-11-16,大额,中,待复核
TX8036802,ACC7518,61134.43,网银,2025-11-26,高频,中,待复核
TX4515899,ACC5491,36087.68,POS,2025-12-02,异地,高,待复核
TX3706300,ACC7062,58278.15,代扣,2025-12-15,高频,高,待复核
TX4485600,ACC8073,76442.58,POS,2025-10-14,夜间,中,待复核
TX7387209,ACC5655,60265.94,移动,2025-11-23,异地,中,待复核
TX6867241,ACC6878,31359.08,网银,2025-12-05,异地,高,待复核
TX3285673,ACC2072,5264.92,代扣,2025-11-10,正常,低,免复核
TX6531852,ACC4038,55866.44,代扣,2025-12-02,高频,高,待复核
TX8223573,ACC6946,4648.74,网银,2025-11-08,正常,低,免复核
TX1038511,ACC2337,43368.56,网银,2025-12-20,大额,高,待复核
TX6565298,ACC2359,606.63,代扣,2025-11-05,正常,低,免复核
TX2992681,ACC6304,49055.09,POS,2025-12-09,大额,高,待复核
TX7007903,ACC9114,16027.35,网银,2025-12-30,正常,低,免复核
TX8292108,ACC3965,70837.3,移动,2025-12-11,异地,中,待复核
TX2911525,ACC1788,48372.46,网银,2025-10-15,异地,高,待复核
TX8776071,ACC6265,25869.37,代扣,2025-12-16,正常,低,免复核
TX8018656,ACC5265,40256.25,代扣,2025-11-25,高频,中,待复核
TX8716400,ACC9821,8187.54,网银,2025-10-25,夜间,中,待复核
TX8532778,ACC8164,35752.35,移动,2025-12-14,高频,中,待复核
TX3315251,ACC9871,13233.03,代扣,2025-10-08,正常,低,免复核
TX8191140,ACC2880,71200.82,POS,2025-10-17,异地,中,待复核
TX5133316,ACC3817,45858.88,移动,2025-11-14,异地,高,待复核
TX7306919,ACC9467,34765.9,移动,2025-11-07,高频,中,待复核
TX8888648,ACC5353,30017.07,代扣,2026-01-01,异地,中,待复核
TX8677239,ACC4521,50320.24,网银,2025-10-31,异地,高,待复核
TX5377726,ACC4758,29333.01,网银,2025-11-04,正常,低,免复核
TX5686343,ACC4956,38822,POS,2025-12-12,大额,中,待复核
TX5359860,ACC3112,35738.7,POS,2025-12-10,大额,高,待复核
TX3697339,ACC4916,63568.38,移动,2025-10-15,异地,高,待复核
TX1629758,ACC9238,64732.63,网银,2025-12-13,大额,高,待复核
TX6503968,ACC1561,2238.5,POS,2025-11-22,正常,低,免复核
TX1977352,ACC7869,79471.8,网银,2025-12-04,高频,中,待复核
TX4799289,ACC7782,77200.7,POS,2025-11-07,异地,高,待复核
TX2142515,ACC8641,44312.67,网银,2025-10-12,大额,中,待复核
TX6426586,ACC2214,7165.44,移动,2025-10-03,正常,低,免复核
TX1939984,ACC1491,56558.76,代扣,2025-10-11,大额,中,待复核
TX1392618,ACC6378,53208.65,移动,2025-12-08,高频,中,待复核
TX8318628,ACC4330,30856.41,POS,2025-10-27,高频,高,待复核
TX1607564,ACC5629,65829.93,代扣,2025-10-11,异地,高,待复核
TX2066876,ACC5402,75137.61,网银,2025-12-07,夜间,高,待复核
TX7791076,ACC8795,30495.67,网银,2025-12-19,夜间,高,待复核
TX1089403,ACC9026,45856.1,移动,2025-11-19,大额,中,待复核
TX4872590,ACC4873,4664.91,POS,2025-12-30,正常,低,免复核
TX1141929,ACC4083,9022.79,移动,2025-11-10,正常,低,免复核
TX5667399,ACC9080,17332.97,POS,2025-12-20,正常,低,免复核
TX5974130,ACC1828,22708.8,网银,2025-11-08,正常,低,免复核
TX8617582,ACC3167,9796.96,POS,2025-11-13,正常,低,免复核
TX4505362,ACC8620,74514.09,网银,2025-11-23,异地,高,待复核
TX5516983,ACC5470,22366.06,移动,2025-10-11,正常,低,免复核
TX2895599,ACC3359,46879.45,网银,2025-12-21,大额,中,待复核
TX4464735,ACC1461,22331.64,代扣,2025-11-13,正常,低,免复核
TX5791491,ACC5226,3636.14,网银,2025-12-04,正常,低,免复核
TX8316183,ACC6679,57323.7,代扣,2025-12-09,夜间,高,待复核
TX6393457,ACC5107,44777.17,移动,2025-11-26,大额,高,待复核
TX1693610,ACC1060,32245.24,移动,2025-12-11,大额,高,待复核
TX3527919,ACC2750,62756.08,网银,2025-12-13,大额,中,待复核
TX4601694,ACC4494,30695.63,POS,2025-12-25,异地,中,待复核
TX6688048,ACC5421,35387.1,移动,2025-11-07,大额,高,待复核
TX8916735,ACC1967,28635.87,POS,2025-12-12,正常,低,免复核
TX8443111,ACC4688,71713.5,移动,2025-11-27,夜间,高,待复核
TX8479451,ACC7657,37094.26,网银,2025-10-25,高频,中,待复核
TX6794358,ACC9540,49276.96,代扣,2025-11-01,高频,中,待复核
TX8564827,ACC3560,58342.98,网银,2025-11-25,异地,高,待复核
TX2817461,ACC7398,18877.12,网银,2025-10-24,正常,低,免复核
TX6646857,ACC8360,49091.68,移动,2025-10-22,高频,高,待复核
TX1606805,ACC5384,71882.93,代扣,2025-10-23,异地,高,待复核
TX4867000,ACC6041,12090.88,代扣,2025-11-18,正常,低,免复核
TX6076349,ACC3570,25422.62,移动,2025-11-29,正常,低,免复核
TX5410516,ACC4432,32491.91,代扣,2025-10-19,夜间,中,待复核
TX5764764,ACC8808,4021.01,POS,2025-12-20,正常,低,免复核
TX6650885,ACC2292,73803.97,移动,2025-12-11,大额,高,待复核
TX6532932,ACC8430,63207.15,POS,2025-12-25,夜间,高,待复核
